"巢祈狼 楷飞喊","酒郴狼 楷飞喊",2018,2019,2020,2021,2022
"38技","45 - 49技",101,87,66,73,64
"38技","50 - 54技",12,10,8,15,11
"38技","55 - 59技",1,0,3,0,1
"38技","60 - 64技",0,0,1,0,0
"38技","65 - 69技",0,0,0,0,0
"38技","70 - 74技",0,0,0,0,1
"38技","75技捞惑",0,0,0,0,0
"39技","15技",0,0,0,0,0
"39技","16技",0,1,0,1,1
"39技","17技",0,3,1,0,1
"39技","18技",60,67,19,3,11
"39技","19技",63,74,35,8,23
"39技","20技",52,44,26,11,25
"39技","21技",53,49,19,9,24
"39技","22技",47,56,26,23,20
"39技","23技",51,63,40,25,34
"39技","24技",60,48,43,31,35
"39技","25技",71,77,52,35,50
"39技","26技",82,93,77,58,66
"39技","27技",92,117,91,79,72
"39技","28技",123,135,108,115,107
"39技","29技",182,179,169,138,140
"39技","30技",179,199,198,207,207
"39技","31技",217,261,221,229,241
"39技","32技",270,286,304,275,271
"39技","33技",376,367,371,309,349
"39技","34技",479,455,466,420,422
"39技","35技",529,537,494,516,533
"39技","36技",603,630,543,481,456
"39技","37技",553,613,560,488,502
"39技","38技",567,559,492,489,484
"39技","39技",514,522,492,493,547
"39技","40 - 44技",667,642,603,616,678
"39技","45 - 49技",135,104,77,83,66
"39技","50 - 54技",17,23,13,21,11
"39技","55 - 59技",2,1,1,2,1
"39技","60 - 64技",2,0,0,1,0
"39技","65 - 69技",0,0,0,0,0
"39技","70 - 74技",0,0,0,0,0
"39技","75技捞惑",0,0,0,0,0
"40技","15技",0,0,0,0,0
"40技","16技",0,0,0,0,0
"40技","17技",4,3,1,0,0
"40技","18技",73,65,19,2,10
"40技","19技",56,70,29,4,20
"40技","20技",47,47,13,8,27
"40技","21技",62,42,22,12,26
"40技","22技",51,42,26,12,20
"40技","23技",43,46,22,13,25
"40技","24技",51,56,28,23,35
"40技","25技",58,55,37,37,50
"40技","26技",60,70,59,35,55
"40技","27技",90,88,73,56,66
"40技","28技",80,93,104,64,75
"40技","29技",117,99,103,97,112
"40技","30技",124,125,136,135,157
"40技","31技",162,164,139,156,155
"40技","32技",184,185,182,177,179
"40技","33技",239,218,210,216,245
"40技","34技",297,267,271,243,330
"40技","35技",424,369,359,350,350
"40技","36技",497,470,441,366,419
"40技","37技",475,452,437,399,438
"40技","38技",439,434,430,358,386
"40技","39技",372,403,408,420,384
"40技","40 - 44技",855,862,828,895,882
"40技","45 - 49技",171,159,134,128,92
"40技","50 - 54技",37,31,25,22,22
"40技","55 - 59技",2,3,5,1,4
"40技","60 - 64技",0,0,0,0,1
"40技","65 - 69技",0,0,0,1,0
